pos	category	lemma	offensiveness_score
1 aggettivo	ddp; cds	spostato	1.9367887836653956
3 sostantivo	qas; min	spranga	3.0589508226895457
3 sostantivo	qas; min	sprangata	3.0589508226895457
3 sostantivo	qas; min	sprangate	3.0589508226895457
3 sostantivo	qas; min	spranghe	3.0589508226895457
3 sostantivo	cds	sprechi	1.608051509357992
3 sostantivo	cds	spreco	1.608051509357992
2 sostantivo, aggettivo	ps; dmc	sprecona	1.608051509357992
2 sostantivo, aggettivo	ps; dmc	sprecone	1.608051509357992
2 sostantivo, aggettivo	ps; dmc	spreconi	1.608051509357992
1 aggettivo	ddf; dmc; cds	spregevole	3.1163875440793407
3 sostantivo	dmc	spregevolezza	3.1163875440793407
3 sostantivo	dmc	spregevolezze	3.1163875440793407
1 aggettivo	ddf; dmc; cds	spregevoli	3.1163875440793407
2 sostantivo, aggettivo	dmc	spregiudicata	2.2232779502329887
2 sostantivo, aggettivo	dmc	spregiudicate	2.2232779502329887
2 sostantivo, aggettivo	dmc	spregiudicati	2.2232779502329887
2 sostantivo, aggettivo	dmc	spregiudicato	2.2232779502329887
1 aggettivo	dmc	sprezzante	2.065489823955959
1 aggettivo	dmc	sprezzanti	2.065489823955959
1 aggettivo	ddf; qas;	sproporzionata	2.042910048683709
1 aggettivo	ddf; qas;	sproporzionate	2.042910048683709
1 aggettivo	ddf; qas;	sproporzionati	2.042910048683709
1 aggettivo	ddf; qas;	sproporzionato	2.042910048683709
2 sostantivo, aggettivo	ddp; asm; asf; ps	sprovveduta	1.9685391094875226
2 sostantivo, aggettivo	ddp; asm; asf; ps	sprovvedute	1.9685391094875226
2 sostantivo, aggettivo	ddp; asm; asf; ps	sprovveduti	1.9685391094875226
2 sostantivo, aggettivo	ddp; asm; asf; ps	sprovveduto	1.9685391094875226
1 aggettivo	dmc	spudorata	2.01394147253802
1 aggettivo	dmc	spudorate	2.01394147253802
1 aggettivo	dmc	spudorati	2.01394147253802
1 aggettivo	dmc	spudorato	2.01394147253802
1 aggettivo	dmc	spuria	2.9883788396203497
1 aggettivo	dmc	spurie	2.9883788396203497
1 aggettivo	dmc	spurii	2.9883788396203497
1 aggettivo	dmc	spurio	2.9883788396203497
3 sostantivo	cds	sputasenno	2.165216760429489
3 sostantivo	cds	sputasentenze	2.165216760429489
3 sostantivo	cds	sputi	4.731971447288265
3 sostantivo	cds	sputo	4.731971447288265
1 aggettivo	min; cds	sputtanata	2.572668630207747
1 aggettivo	min; cds	sputtanate	2.572668630207747
1 aggettivo	min; cds	sputtanati	2.572668630207747
1 aggettivo	min; cds	sputtanato	2.572668630207747
1 aggettivo	dmc	squallida	3.0880412676652824
1 aggettivo	dmc	squallide	3.0880412676652824
1 aggettivo	dmc	squallidi	3.0880412676652824
1 aggettivo	dmc	squallido	3.0880412676652824
3 sostantivo	dmc; qas	squallore	2.8814541728492182
3 sostantivo	dmc; qas	squallori	2.8814541728492182
1 aggettivo	ddp; cds	squilibrata	2.5216150840783773
1 aggettivo	ddp; cds	squilibrate	2.5216150840783773
1 aggettivo	ddp; cds	squilibrati	2.5216150840783773
1 aggettivo	ddp; cds	squilibrato	2.5216150840783773
3 sostantivo	pr; mi; an	squillo	3.893380783098075
1 aggettivo	dmc	squinternata	1.9367887836653956
1 aggettivo	dmc	squinternate	1.9367887836653956
1 aggettivo	dmc	squinternati	1.9367887836653956
1 aggettivo	dmc	squinternato	1.9367887836653956
1 aggettivo	dmc	sregolata	1.7499894968506045
1 aggettivo	dmc	sregolate	1.7499894968506045
3 sostantivo	qas	sregolatezza	1.7499894968506045
3 sostantivo	qas	sregolatezze	1.7499894968506045
1 aggettivo	dmc	sregolati	1.7499894968506045
1 aggettivo	dmc	sregolato	1.7499894968506045
1 aggettivo	dmc	stagnante	3.1223572617408655
1 aggettivo	dmc	stagnanti	3.1223572617408655
3 sostantivo	qas	stalla	3.1316642978253117
3 sostantivo	qas	stalle	3.1316642978253117
3 sostantivo	an; qas; cds	stallone	3.2784456328411764
3 sostantivo	an; qas; cds	stalloni	3.2784456328411764
1 aggettivo	dmc	stantia	2.5448397477679623
1 aggettivo	dmc	stantie	2.5448397477679623
1 aggettivo	dmc	stantii	2.5448397477679623
1 aggettivo	dmc	stantio	2.5448397477679623
1 aggettivo	dmc	stentata	2.643022464542872
1 aggettivo	dmc	stentate	2.643022464542872
1 aggettivo	dmc	stentati	2.643022464542872
1 aggettivo	dmc	stentato	2.643022464542872
3 sostantivo	cds	sterchi	3.281901802120675
3 sostantivo	cds	sterco	3.281901802120675
1 aggettivo	ddf; qas;	sterile	2.3423837386694486
1 aggettivo	ddf; qas;	sterili	2.3423837386694486
4 verbo	cds	sterminarla	5
4 verbo	cds	sterminarle	5
4 verbo	cds	sterminarli	5
4 verbo	cds	sterminarlo	5
4 verbo	cds	sterminatela	5
4 verbo	cds	sterminatele	5
4 verbo	cds	sterminateli	5
4 verbo	cds	sterminatelo	5
4 verbo	cds	sterminiamola	5
4 verbo	cds	sterminiamole	5
4 verbo	cds	sterminiamoli	5
4 verbo	cds	sterminiamolo	5
3 sostantivo	re; min; cds	sterminii	3.0589508226895457
3 sostantivo	re; min; cds	sterminio	3.0589508226895457
3 sostantivo	or; asf	sticchi	3.4947955086184734
3 sostantivo	or; asf	sticchio	3.4947955086184734
3 sostantivo	asm	sticci	3.4947955086184734
3 sostantivo	asm	sticciu	3.4947955086184734
4 verbo	cds	stiuprateli	5
1 aggettivo	dmc	stizzosa	1.8892143024015788
1 aggettivo	dmc	stizzose	1.8892143024015788
1 aggettivo	dmc	stizzosi	1.8892143024015788
1 aggettivo	dmc	stizzoso	1.8892143024015788
3 sostantivo	ddf	stoccafissi	1.8822525162794141
3 sostantivo	ddf	stoccafisso	1.8822525162794141
2 sostantivo, aggettivo	an; cds; ddp; asm; asf;	stolida	1.793497447760903
2 sostantivo, aggettivo	an; cds; ddp; asm; asf;	stolide	1.793497447760903
2 sostantivo, aggettivo	an; cds; ddp; asm; asf;	stolidi	1.793497447760903
2 sostantivo, aggettivo	an; cds; ddp; asm; asf;	stolido	1.793497447760903
2 sostantivo, aggettivo	cds; an; ddp; ps; asm; asf	stolta	2.323737687492116
2 sostantivo, aggettivo	cds; an; ddp; ps; asm; asf	stolte	2.323737687492116
3 sostantivo	asm; asf; ddp	stoltezza	2.323737687492116
3 sostantivo	asm; asf; ddp	stoltezze	2.323737687492116
2 sostantivo, aggettivo	cds; an; ddp; ps; asm; asf	stolti	2.323737687492116
2 sostantivo, aggettivo	cds; an; ddp; ps; asm; asf	stolto	2.323737687492116
1 aggettivo	cds	stomachevole	2.674905407016653
1 aggettivo	cds	stomachevoli	2.674905407016653
1 aggettivo	qas	stordita	1.851318960917716
1 aggettivo	qas	stordite	1.851318960917716
1 aggettivo	qas	storditi	1.851318960917716
1 aggettivo	qas	stordito	1.851318960917716
2 sostantivo, aggettivo	ddf	storpi	3.2821151380131757
2 sostantivo, aggettivo	ddf	storpia	3.2821151380131757
2 sostantivo, aggettivo	ddf	storpiata	3.2821151380131757
2 sostantivo, aggettivo	ddf	storpiate	3.2821151380131757
2 sostantivo, aggettivo	ddf	storpiati	3.2821151380131757
2 sostantivo, aggettivo	ddf	storpiato	3.2821151380131757
