babelnet_id,lemma,sense_lemma,pos,examples,glosses,categories
bn:00001480n,adolescent,teenager,NOUN,,A juvenile between the onset of puberty and maturity,Adolescence | All_articles_needing_additional_references | All_articles_with_self-published_sources | Articles_with_short_description | Pages_using_multiple_image_with_auto_scaled_images | Pages_with_missing_ISBNs | Puberty
bn:00001480n,adolescent,teen,NOUN,,A juvenile between the onset of puberty and maturity,Adolescence | All_articles_needing_additional_references | All_articles_with_self-published_sources | Articles_with_short_description | Pages_using_multiple_image_with_auto_scaled_images | Pages_with_missing_ISBNs | Puberty
bn:00096485a,adolescent,adolescent,ADJ,Adolescent problems,Relating to or peculiar to or suggestive of an adolescent,
bn:00001478n,adolescent,adolescence,NOUN,,The time period between the beginning of puberty and adulthood,Adolescence | All_articles_needing_additional_references | All_articles_with_self-published_sources | Articles_with_short_description | Pages_using_multiple_image_with_auto_scaled_images | Pages_with_missing_ISBNs | Puberty
bn:00096486a,adolescent,adolescent,ADJ,Teenage mothers | The teen years,Being of the age 13 through 19,
bn:00096486a,adolescent,teen,ADJ,Teenage mothers | The teen years,Being of the age 13 through 19,
bn:00096486a,adolescent,teenage,ADJ,Teenage mothers | The teen years,Being of the age 13 through 19,
bn:00096486a,adolescent,teenaged,ADJ,Teenage mothers | The teen years,Being of the age 13 through 19,
bn:00096487a,adolescent,adolescent,ADJ,Adolescent insecurity | Jejune responses to our problems | Puerile jokes | Their behavior was juvenile,Displaying or suggesting a lack of maturity,
bn:00096487a,adolescent,jejune,ADJ,Adolescent insecurity | Jejune responses to our problems | Puerile jokes | Their behavior was juvenile,Displaying or suggesting a lack of maturity,
bn:00096487a,adolescent,juvenile,ADJ,Adolescent insecurity | Jejune responses to our problems | Puerile jokes | Their behavior was juvenile,Displaying or suggesting a lack of maturity,
bn:00096487a,adolescent,puerile,ADJ,Adolescent insecurity | Jejune responses to our problems | Puerile jokes | Their behavior was juvenile,Displaying or suggesting a lack of maturity,
bn:00096488a,adolescent,adolescent,ADJ,Adolescent boys and girls,In the state of development between puberty and maturity,
bn:00050539n,reste,leftover,NOUN,,A small part or portion that remains after the main part no longer exists,Meals | Recycling_by_product
bn:00050539n,reste,remnant,NOUN,,A small part or portion that remains after the main part no longer exists,Meals | Recycling_by_product
bn:00067319n,reste,residue,NOUN,,Matter that remains after something has been removed,All_articles_needing_additional_references | Distillation
