babelnet_id,lemma,sense_lemma,pos,examples,glosses,categories
bn:00067500n,roi,return_on_investment,NOUN,,"(corporate finance) the amount, expressed as a percentage, that is earned on a company's total capital calculated by dividing the total capital into earnings before interest, taxes, or dividends are paid",All_Wikipedia_articles_needing_clarification | All_articles_needing_additional_references | Factor_income_distribution | Financial_ratios | Investment | Investment_indicators | Yield_(finance)
bn:00067500n,roi,ROI,NOUN,,"(corporate finance) the amount, expressed as a percentage, that is earned on a company's total capital calculated by dividing the total capital into earnings before interest, taxes, or dividends are paid",All_Wikipedia_articles_needing_clarification | All_articles_needing_additional_references | Factor_income_distribution | Financial_ratios | Investment | Investment_indicators | Yield_(finance)
bn:00049143n,roi,king,NOUN,The lion is the king of beasts,Preeminence in a particular category or group or field,
bn:00049141n,roi,king,NOUN,,A male sovereign; ruler of a kingdom,All_Wikipedia_articles_needing_clarification | All_articles_needing_additional_references | All_articles_that_may_contain_original_research | Articles_with_multiple_maintenance_issues | Articles_with_short_description | Constitutional_state_types | Gendered_occupations | Kings | Latin_stubs | Latin_words_and_phrases | Monarchy | Pages_using_sidebar_with_the_child_parameter | Political_systems | Positions_of_authority | Roman_historiography | Royal_titles | Titles | Use_mdy_dates_from_January_2016 | Wikipedia_articles_incorporating_a_citation_from_the_1911_Encyclopaedia_Britannica_with_Wikisource_reference
bn:00049141n,roi,male_monarch,NOUN,,A male sovereign; ruler of a kingdom,All_Wikipedia_articles_needing_clarification | All_articles_needing_additional_references | All_articles_that_may_contain_original_research | Articles_with_multiple_maintenance_issues | Articles_with_short_description | Constitutional_state_types | Gendered_occupations | Kings | Latin_stubs | Latin_words_and_phrases | Monarchy | Pages_using_sidebar_with_the_child_parameter | Political_systems | Positions_of_authority | Roman_historiography | Royal_titles | Titles | Use_mdy_dates_from_January_2016 | Wikipedia_articles_incorporating_a_citation_from_the_1911_Encyclopaedia_Britannica_with_Wikisource_reference
bn:00049141n,roi,Rex,NOUN,,A male sovereign; ruler of a kingdom,All_Wikipedia_articles_needing_clarification | All_articles_needing_additional_references | All_articles_that_may_contain_original_research | Articles_with_multiple_maintenance_issues | Articles_with_short_description | Constitutional_state_types | Gendered_occupations | Kings | Latin_stubs | Latin_words_and_phrases | Monarchy | Pages_using_sidebar_with_the_child_parameter | Political_systems | Positions_of_authority | Roman_historiography | Royal_titles | Titles | Use_mdy_dates_from_January_2016 | Wikipedia_articles_incorporating_a_citation_from_the_1911_Encyclopaedia_Britannica_with_Wikisource_reference
bn:00034203n,histoire,fib,NOUN,He told a fib about eating his spinach | How can I stop my child from telling stories?,A trivial lie,All_articles_lacking_reliable_references | Articles_with_short_description | Deception | Lying
bn:00034203n,histoire,story,NOUN,He told a fib about eating his spinach | How can I stop my child from telling stories?,A trivial lie,All_articles_lacking_reliable_references | Articles_with_short_description | Deception | Lying
bn:00034203n,histoire,tale,NOUN,He told a fib about eating his spinach | How can I stop my child from telling stories?,A trivial lie,All_articles_lacking_reliable_references | Articles_with_short_description | Deception | Lying
bn:00034203n,histoire,tarradiddle,NOUN,He told a fib about eating his spinach | How can I stop my child from telling stories?,A trivial lie,All_articles_lacking_reliable_references | Articles_with_short_description | Deception | Lying
bn:00034203n,histoire,taradiddle,NOUN,He told a fib about eating his spinach | How can I stop my child from telling stories?,A trivial lie,All_articles_lacking_reliable_references | Articles_with_short_description | Deception | Lying
