ID,Lemma,POS,Synset_ID,Synset_Lemma,Definition,Definition' source,Example,Example' source,Original HurtLex Category,Stereotype,synset_category,synonyms_en,definition_en,definition_category,ERIS_score,aikia_offensive_score
IT307,zucca,noun,Synset('omw-iwn-05538625-n'),"['capo', 'testa', 'zucca', 'chiorba', 'capoccia', 'cranio']","In usi con valore spregiativo: testa, capoccia.",sc,Non so che cazzo hai nella zucca vuota.,se,,,,,,,,
IT3482,ratto,noun,Synset('omw-iwn-02331046-n'),"['topo di fogna', 'ratto di chiavica', 'surmulotto', 'surmolotto', 'ratto']","mammifero roditore affine al topo, ma più grande, abitatore di luoghi umidi e bui, dannoso sia per la voracità che per le malattie che può trasmettere",omw,"Non sei l'oca dalle uova d'oro, sei un ratto di fogna.",se,,,,,,,,
IT456,casino,noun,Synset('omw-iwn-04581595-n'),"['casotto', 'casa di tolleranza', 'casa di piacere', 'casa chiusa', 'bordello', 'lupanare', 'postribolo', 'casino']","Situazione problematica e confusa o anche spiacevole e critica, pasticcio.",dm,"Non riesco a pensare, sto solo facendo casino",se,,,,,,,,
IT1659,diverso,noun,Synset('omw-iwn-10182913-n'),"['gay', 'omosessuale', 'diverso', 'checca', 'finocchio', 'invertito']",uomo omosessuale,omw,Non mi permetterei mai di dire che l'omosessuale è un diverso.,se,,,,,,,,
IT1878,adolescente,noun,Synset('omw-iwn-09871229-n'),"['teen ager', 'sbarbatello', 'scugnizzo', 'giovincello', 'giovinetto', 'adolescente', 'ragazzo']",Giovane inesperto che cerca di comportarsi come un adulto.,dm,"Non hai raggiunto l'adultità, sei immaturo/a, non sei cresciuto/a, sei un adolescente.",se,,,,,,,,
IT2774,povero,noun,Synset('omw-iwn-09847010-n'),"['questuante', 'povero', 'pezzente', 'mendicante', 'mendico', 'accattone', 'postulante']",Persona meschinamente attaccata al denaro.,dm,"Non fare il pezzente, paga tu il conto.",se,,,,,,,,
IT209,spazzatura,noun,Synset('omw-iwn-14857497-n'),"['sporcizia', 'scarto', 'spazzatura', 'immondizia', 'pattume', 'rifiuto']","Persona spregevole, abietta",dm,Non è facile sentirsi bene quando ti viene costantemente detto che sei spazzatura e/o parte del problema.,se,,,,,,,,
IT2019,delitto,noun,Synset('omw-iwn-00766234-n'),"['reato', 'misfatto', 'crimine', 'delitto']",atto commesso in violazione di norme legali e morali,omw,Non crearsi l'occasione e non approfittarne è un delitto.,se,,,,,,,,
IT933,merda,noun,Synset('omw-iwn-14854581-n'),"['cacca', 'merda', 'stronzo', 'cacata']",escremento,omw,"Nessun umanista, nessun essere umano compassionevole vuole merda di questo tipo!",se,,,,,,,,
IT2282,indecente,adjective,Synset('omw-iwn-00689471-a'),"['indecente', 'indegno', 'indecoroso']",privo di dignità e decoro,omw,Una scollatura indecente.,dm,,,,,,,,
